,epoch,train/box_loss,train/obj_loss,train/cls_loss,train/total_loss
0,0.0,0.0747139751911163,0.025819968432188,0.0275988690555095,0.1281328201293945
1,1.0,0.0558120757341384,0.0234586540609598,0.0169652886688709,0.0962359681725502
2,2.0,0.0504840277135372,0.0224438980221748,0.0124028371647,0.0853307545185089
3,3.0,0.0438469089567661,0.0233425572514534,0.0101842554286122,0.0773737281560897
4,4.0,0.0387557409703731,0.0234758760780096,0.0084673799574375,0.0706989914178848
5,5.0,0.0370967797935009,0.0225271992385387,0.0075425142422318,0.0671664923429489
6,6.0,0.0324460342526435,0.0222720243036746,0.0061904895119369,0.0609085597097873
7,7.0,0.0340856835246086,0.022146925330162,0.0056694871746003,0.0619020797312259
8,8.0,0.0338965207338333,0.021961074322462,0.0053770965896546,0.0612346976995468
9,9.0,0.0322094410657882,0.0215910337865352,0.0050098681822419,0.0588103346526622
10,10.0,0.0305293910205364,0.0222109127789735,0.0058116391301155,0.0585519447922706
11,11.0,0.0300227478146553,0.0210985578596591,0.004871510900557,0.0559928305447101
12,12.0,0.029774010181427,0.0208432991057634,0.004630715586245,0.0552480295300483
13,13.0,0.0300945397466421,0.0211528036743402,0.0043592220172286,0.055606547743082
14,14.0,0.0299528036266565,0.0210293512791395,0.0043974141590297,0.0553795360028743
15,15.0,0.0299254264682531,0.0215938612818717,0.0054021156392991,0.0569213852286338
16,16.0,0.0292436331510543,0.0208174586296081,0.004557239357382,0.0546183101832866
17,17.0,0.0288189258426427,0.0204354971647262,0.0040355888195335,0.0532900169491767
18,18.0,0.0283092949539423,0.0206838920712471,0.0038097451906651,0.0528029389679431
19,19.0,0.027696868404746,0.0203185323625803,0.0035846473183482,0.0516000129282474
20,20.0,0.0280962623655796,0.0212419852614402,0.0049132211133837,0.0542514733970165
21,21.0,0.0279161222279071,0.0205496530979871,0.0041519445367157,0.0526177063584327
22,22.0,0.0272652599960565,0.0201869457960128,0.0036841279361397,0.0511363223195076
23,23.0,0.0268988814204931,0.0204639304429292,0.0035378879401832,0.0509006977081298
24,24.0,0.0265895817428827,0.0199929513037204,0.0032535681966692,0.049836091697216
25,25.0,0.0270155072212219,0.020985260605812,0.0046301349066197,0.0526308752596378
26,26.0,0.0265676192939281,0.0202570874243974,0.0037927646189928,0.0506174899637699
27,27.0,0.0260722674429416,0.0198904406279325,0.0033898337278515,0.0493525229394435
28,28.0,0.0257659871131181,0.0202387794852256,0.0032359645701944,0.0492407418787479
29,29.0,0.0257342346012592,0.0198016967624425,0.0029614747036248,0.0484974011778831
30,30.0,0.0263397917151451,0.0207375418394804,0.0043025771155953,0.0513798967003822
31,31.0,0.0260966587811708,0.0201024077832698,0.0035365624353289,0.0497356280684471
32,32.0,0.0256929993629455,0.0198838654905557,0.0032422021031379,0.0488190464675426
33,33.0,0.0253432225435972,0.0202292669564485,0.0031269120518118,0.0486994124948978
34,34.0,0.0249608419835567,0.0196993388235569,0.0028427820652723,0.0475029647350311
35,35.0,0.0260491576045751,0.0206332355737686,0.0041430462151765,0.0508254431188106
36,36.0,0.0254095662385225,0.019980601966381,0.0033627557568252,0.0487529300153255
37,37.0,0.0249634124338626,0.019691988825798,0.0030324060935527,0.0476878322660923
38,38.0,0.0250765401870012,0.0200189221650362,0.0028927554376423,0.0479882471263408
39,39.0,0.0246596205979585,0.0195774622261524,0.002609921619296,0.046847004443407
40,40.0,0.0256178975105285,0.0206087157130241,0.0039133764803409,0.0501400008797645
41,41.0,0.0247981511056423,0.0199030395597219,0.0032027820125222,0.0479039698839187
42,42.0,0.0248011350631713,0.0196681097149848,0.0028702048584818,0.0473394393920898
43,43.0,0.0244429819285869,0.0199129171669483,0.0027268505655229,0.0470827594399452
44,44.0,0.0239923987537622,0.0194385405629873,0.0025303428992629,0.0459612645208835
45,45.0,0.0251271855086088,0.0205827988684177,0.0036815055646002,0.0493914671242237
46,46.0,0.0247179362922906,0.0199050772935152,0.0029881431255489,0.047611154615879
47,47.0,0.0241712238639593,0.0196430478245019,0.002754247514531,0.0465685203671455
48,48.0,0.0242243539541959,0.0199536550790071,0.0026533806230872,0.0468314029276371
49,49.0,0.0236018579453229,0.0193689968436956,0.002397711854428,0.0453685671091079
50,50.0,0.0248794816434383,0.0205588247627019,0.0034994352608919,0.0489377379417419
51,51.0,0.0243025682866573,0.0199213549494743,0.002993174130097,0.0472170859575271
52,52.0,0.0239243451505899,0.0196698140352964,0.0026884151156991,0.046282585710287
53,53.0,0.0238662958145141,0.0200138092041015,0.002567593473941,0.046447679400444
54,54.0,0.0232684463262558,0.0193979553878307,0.0023619870189577,0.0450284034013748
55,55.0,0.0245025474578142,0.0207380317151546,0.0034052259288728,0.0486457794904708
56,56.0,0.0240849964320659,0.0202564634382724,0.0028761606663465,0.0472176223993301
57,57.0,0.0239307321608066,0.0202563852071762,0.0027093833778053,0.0468964911997318
58,58.0,0.0239937882870435,0.0211871955543756,0.0025486371014267,0.0477296486496925
59,59.0,0.0234495159238576,0.0210389886051416,0.0023466548882424,0.046835146844387
60,60.0,0.0243324488401412,0.0226638223975896,0.0032352448906749,0.0502314865589141
61,61.0,0.0239854659885168,0.0219432357698678,0.0027434155344963,0.048672117292881
62,62.0,0.0236224941909313,0.0216354168951511,0.0024305726401507,0.0476884767413139
63,63.0,0.0231741815805435,0.0219931174069643,0.0022890821564942,0.0474563650786876
64,64.0,0.0228427276015281,0.0213829651474952,0.0021187441889196,0.0463444255292415
65,65.0,0.0238153412938117,0.0225685164332389,0.0030605650972574,0.0494444146752357
66,66.0,0.023531625047326,0.0218499042093753,0.0025421963073313,0.0479237250983715
67,67.0,0.0233752131462097,0.0214497614651918,0.0023464621044695,0.0471714399755001
68,68.0,0.0230152141302824,0.0220143664628267,0.0023226863704621,0.0473522283136844
69,69.0,0.0225604474544525,0.0212265402078628,0.0021050162613391,0.0458920262753963
70,70.0,0.0235646404325962,0.022446209564805,0.0029721981845796,0.0489830411970615
71,71.0,0.0232664067298173,0.0216886047273874,0.0025420857127755,0.0474970825016498
72,72.0,0.0228634774684906,0.0212508253753185,0.0022859647870063,0.0464002676308155
73,73.0,0.0225257407873868,0.0217091832309961,0.0021732002496719,0.0464081205427646
74,74.0,0.0225599389523267,0.0212935991585254,0.0021238790359348,0.045977409929037
75,75.0,0.0231877230107784,0.0222024209797382,0.0028443047776818,0.0482344515621662
76,76.0,0.0228648409247398,0.0214592460542917,0.0024430640041828,0.0467671491205692
77,77.0,0.0227026138454675,0.0211251750588417,0.0021938784047961,0.0460216701030731
78,78.0,0.0222914200276136,0.0214237980544567,0.0020927453879266,0.0458079427480697
79,79.0,0.0219726171344518,0.0208965986967086,0.0019297481048852,0.0447989366948604
80,80.0,0.022931570187211,0.0220220368355512,0.0027429654728621,0.0476965606212616
81,81.0,0.0225301552563905,0.02136473916471,0.0023847543634474,0.0462796315550804
82,82.0,0.0224063172936439,0.0210304968059062,0.0021439029369503,0.0455807112157344
83,83.0,0.0220233779400587,0.021346915513277,0.0020222251769155,0.0453925020992755
84,84.0,0.0218080170452594,0.0207739789038896,0.001950946287252,0.0445329397916793
85,85.0,0.0227019675076007,0.021873939782381,0.0026209915522485,0.04719690233469
86,86.0,0.0223029740154743,0.0212428905069828,0.0022622635588049,0.045808121562004
87,87.0,0.0221859160810709,0.0209258217364549,0.002120193792507,0.0452319011092186
88,88.0,0.0219804476946592,0.0212923921644687,0.0020780868362635,0.0453509055078029
89,89.0,0.0216671079397201,0.0207638647407293,0.0019252413185313,0.0443562120199203
90,90.0,0.0224349685013294,0.0217076782137155,0.0025290395133197,0.0466716736555099
91,91.0,0.0221593137830495,0.0211056899279356,0.0022212422918528,0.0454862490296363
92,92.0,0.0219645071774721,0.0207027997821569,0.0020201609004288,0.0446874536573886
93,93.0,0.0217161886394023,0.0210812427103519,0.001967265503481,0.0447647087275981
94,94.0,0.0214734673500061,0.0206092596054077,0.0019109334098175,0.0439936630427837
95,95.0,0.0224039778113365,0.021637549623847,0.0025116431061178,0.0465531721711158
96,96.0,0.0220794938504695,0.0209701377898454,0.0021938958670943,0.0452435202896595
97,97.0,0.021862156689167,0.0206090491265058,0.0019837727304548,0.0444549731910228
98,98.0,0.0216139741241931,0.0209021139889955,0.001891779131256,0.044407844543457
99,99.0,0.0212928913533687,0.020721148699522,0.0019113112939521,0.0439253710210323
100,100.0,0.0221412442624568,0.021386357024312,0.0023844358511269,0.0459120422601699
101,101.0,0.0217825751751661,0.0207653362303972,0.002070675836876,0.0446185767650604
102,102.0,0.021598832681775,0.020460832864046,0.0019948696717619,0.0440545231103897
103,103.0,0.0214577000588178,0.0209201090037822,0.0018785763531923,0.0442563816905021
104,104.0,0.0210871119052171,0.0203108303248882,0.0017446379642933,0.0431425757706165
105,105.0,0.0219952836632728,0.0212651249021291,0.0023534104693681,0.0456138104200363
106,106.0,0.0216987822204828,0.0207137558609247,0.0020032990723848,0.0444158390164375
107,107.0,0.0215016398578882,0.0203026309609413,0.0018609843682497,0.0436652563512325
108,108.0,0.0212801098823547,0.0206385422497987,0.0017556844977661,0.0436743162572383
109,109.0,0.0207971055060625,0.0201187264174222,0.0016614447813481,0.0425772741436958
110,110.0,0.0218166746199131,0.0211038365960121,0.0022467749658972,0.0451672859489917
111,111.0,0.021611101925373,0.0205452591180801,0.0019468817627057,0.0441032424569129
112,112.0,0.0214648954570293,0.020295338705182,0.0018325262935832,0.0435927435755729
113,113.0,0.0212444029748439,0.020549688488245,0.0017855593468993,0.0435796603560447
114,114.0,0.0207771062850952,0.0200566742569208,0.0016707517206668,0.0425045266747474
115,115.0,0.0217416323721408,0.0209689643234014,0.0022026491351425,0.0449132621288299
116,116.0,0.0214189477264881,0.020447788760066,0.0019113331800326,0.0437780618667602
117,117.0,0.0212315302342176,0.0200371220707893,0.0017856011399999,0.0430542454123497
118,118.0,0.0210352912545204,0.020417895168066,0.0017185586038976,0.0431717485189437
119,119.0,0.0207790751010179,0.0202315356582403,0.0017610267968848,0.0427716150879859
120,120.0,0.021659767255187,0.0208697114139795,0.0021678721532225,0.0446973405778408
121,121.0,0.0212855376303195,0.0203484073281288,0.0018617891473695,0.0434957221150398
122,122.0,0.0211060084402561,0.0199529193341732,0.0017285727662965,0.0427875071763992
123,123.0,0.0209657941013574,0.0203961189836263,0.0017473611515015,0.0431092604994773
124,124.0,0.0206731278449296,0.020032525062561,0.0016358334105461,0.0423414856195449
125,125.0,0.0216184165328741,0.020746661350131,0.0021169309038668,0.0444820076227188
126,126.0,0.021212201565504,0.0203202478587627,0.0018665975658223,0.0433990769088268
127,127.0,0.0210532806813716,0.0200135968625545,0.0017401200020685,0.0428069867193698
128,128.0,0.0208169389516115,0.0202799569815397,0.0016407936345785,0.042737677693367
129,129.0,0.0204873327165842,0.0198131706565618,0.0015524782938882,0.0418529883027076
130,130.0,0.0214717369526624,0.0206232517957687,0.0020363174844533,0.0441312976181507
131,131.0,0.0211491808295249,0.0201617944985628,0.0018152701668441,0.0431262478232383
132,132.0,0.0210658255964517,0.0198535490781068,0.0016764086904004,0.0425957664847373
133,133.0,0.020835829898715,0.0202013887465,0.0016361834714189,0.0426734052598476
134,134.0,0.0204246416687965,0.0196454487740993,0.0015296381898224,0.041599728167057
135,135.0,0.0214095804840326,0.0205342676490545,0.0019901883788406,0.0439340285956859
136,136.0,0.0210417862981557,0.0200742650777101,0.0017716665752232,0.0428877063095569
137,137.0,0.0209413077682256,0.0197704751044511,0.0016229442553594,0.0423347316682338
138,138.0,0.0206913258880376,0.0200820378959178,0.0015868796035647,0.0423602648079395
139,139.0,0.0203697942197322,0.0196089781820774,0.0015281839296221,0.0415069684386253
140,140.0,0.0213256254792213,0.0204478371888399,0.0019522346556186,0.0437257178127765
141,141.0,0.0210334323346614,0.0200433488935232,0.0017539102118462,0.0428307019174099
142,142.0,0.0208894424140453,0.0196945071220397,0.0016169109148904,0.0422008894383907
143,143.0,0.0206749569624662,0.0200247894972562,0.0015690750442445,0.0422688275575637
144,144.0,0.0203163977712392,0.0195108149200677,0.001487863366492,0.0413151048123836
145,145.0,0.0213098861277103,0.0203933622688055,0.0019752003718167,0.043678443878889
146,146.0,0.0209238119423389,0.0199797619134187,0.0017520842375233,0.042655661702156
147,147.0,0.0208190102130174,0.0196151491254568,0.0015868742484599,0.0420210361480712
148,148.0,0.0205710250884294,0.0199532601982355,0.0015193473082035,0.0420436561107635
149,149.0,0.0201978366822004,0.0194685533642768,0.0014988423790782,0.0411652512848377
