,epoch,lr0,lr1,lr2,m0,m1,m2
0,0.0,0.0006601307189542,0.0006601307189542,0.0940588235294117,0.8090437908496733,0.8090437908496733,0.8090437908496733
1,1.0,0.0013266664407544,0.0013266664407544,0.0880586925845452,0.8181771241830066,0.8181771241830066,0.8181771241830066
2,2.0,0.001992677179288,0.001992677179288,0.0820580366564122,0.8273104575163399,0.8273104575163399,0.8273104575163399
3,3.0,0.002657768596808,0.002657768596808,0.0760564614072656,0.8364437908496732,0.8364437908496732,0.8364437908496732
4,4.0,0.003321546989615,0.003321546989615,0.0700535731334058,0.8455771241830066,0.8455771241830066,0.8455771241830066
5,5.0,0.0039836195760229,0.0039836195760229,0.0640489790531471,0.8547104575163399,0.8547104575163399,0.8547104575163399
6,6.0,0.0046435947837696,0.0046435947837696,0.0580422875942271,0.8638437908496732,0.8638437908496732,0.8638437908496732
7,7.0,0.0053010825366939,0.0053010825366939,0.0520331086804848,0.8729771241830065,0.8729771241830065,0.8729771241830065
8,8.0,0.0059556945405042,0.0059556945405042,0.0460210540176283,0.8821104575163399,0.8821104575163399,0.8821104575163399
9,9.0,0.0066070445674617,0.0066070445674617,0.0400057373779192,0.8912437908496733,0.8912437908496733,0.8912437908496733
10,10.0,0.007254748739805,0.007254748739805,0.0339867748835958,0.9003771241830065,0.9003771241830065,0.9003771241830065
11,11.0,0.0078984258117401,0.0078984258117401,0.0279637852888643,0.90951045751634,0.90951045751634,0.90951045751634
12,12.0,0.0085376974498231,0.0085376974498231,0.0219363902602807,0.9186437908496732,0.9186437908496732,0.9186437908496732
13,13.0,0.0091721885115628,0.0091721885115628,0.0159042146553537,0.9277771241830066,0.9277771241830066,0.9277771241830066
14,14.0,0.0098015273220714,0.0098015273220714,0.0098668867991956,0.93691045751634,0.93691045751634,0.93691045751634
15,15.0,0.0097797543233281,0.0097797543233281,0.0097797543233281,0.937,0.937,0.937
16,16.0,0.0097797543233281,0.0097797543233281,0.0097797543233281,0.937,0.937,0.937
17,17.0,0.0097496936660686,0.0097496936660686,0.0097496936660686,0.937,0.937,0.937
18,18.0,0.0097177689527135,0.0097177689527135,0.0097177689527135,0.937,0.937,0.937
