kround,batch avg time (ms),nms (ms),total (ms),mP,mR,mAP@.5,mAP@.5:.95,val/box_loss,val/obj_loss,val/cls_loss,val/total_loss
0,2.46551401625002,1.014877745949187,3.4803917621992073,0.4061465059331332,0.2518986424020996,0.1661792587799796,0.042976288577944,0.0867379754781723,0.0268793832510709,0.016476348042488,0.1300937067717313
1,2.4598451520195552,1.0123246634160188,3.4721698154355742,0.7521666831819205,0.503777966445319,0.5676652665024526,0.3117998745423091,0.0651659220457077,0.0286672692745924,0.0143737457692623,0.1082069370895624
2,2.4575776237259523,0.9755617625172252,3.4331393862431776,0.767819086976451,0.5076290072908496,0.5766103034916548,0.3115425798755658,0.0623141340911388,0.029110075905919,0.013838262297213,0.1052624722942709
3,2.4606226656855066,0.990445017669648,3.4510676833551543,0.796287299958607,0.5481010910676724,0.6240826737339662,0.3818331439107859,0.0547943003475666,0.0294357743114233,0.0127781387418508,0.0970082134008407
4,2.4596643952434873,0.9390510685743714,3.3987154638178594,0.8058922515339448,0.5757725244556048,0.6524990164756514,0.4085741780929107,0.0523975118994712,0.0297615882009267,0.0120271509513258,0.0941862510517239
5,2.458225532449153,0.956139492600018,3.414365025049171,0.7962360566886669,0.5953318374314724,0.6651705330968216,0.4202767368715048,0.0509990975260734,0.0304449945688247,0.0115414774045348,0.092985569499433
6,2.458889331877942,0.9359220929518144,3.394811424829756,0.8204880005675038,0.5892833841495164,0.6711778658403971,0.4253405967341835,0.0503605864942073,0.0308872163295745,0.0114037729799747,0.0926515758037567
7,2.464965409937928,0.938908008727619,3.403873418665547,0.8008924147451246,0.6059885023421911,0.6796878255399754,0.4335059718823807,0.0487724356353282,0.0317922383546829,0.0110232066363096,0.0915878806263208
8,2.4626530077996205,0.9307666029033508,3.393419610702971,0.7958589083453622,0.6146699860640856,0.6857093037377446,0.4391597559282803,0.0476778149604797,0.0326064862310886,0.0108228595927357,0.0911071607843041
9,2.4578735736187167,0.9312787736833776,3.3891523473020944,0.7906475283915094,0.6207238912922473,0.6906330072193811,0.4430810703134858,0.0472054407000541,0.0329637974500656,0.0108041679486632,0.090973406098783
10,2.4579234205583274,0.9196204908338956,3.377543911392223,0.801750516087622,0.6161774124544909,0.691608183927766,0.4458425961587816,0.0453371070325374,0.0346963033080101,0.0105119058862328,0.0905453162267804
11,2.460276796359037,0.9420461041073068,3.4023229004663436,0.8191626836581705,0.6168378357885249,0.6961354928281492,0.449629316649873,0.0401984974741935,0.0372315272688865,0.0098881144076585,0.0873181391507387
12,2.4597095880622093,0.969901583079322,3.4296111711415316,0.7969487286791375,0.6385485169548499,0.7005479421448148,0.4520214610682194,0.0399558842182159,0.037156093865633,0.009752158075571,0.08686413615942
13,2.462909303422509,0.9640529189948414,3.42696222241735,0.8120457122612056,0.6347296625316854,0.7063892409684718,0.4583537332500392,0.0394547842442989,0.0379055961966514,0.009713408537209,0.0870737889781594
14,2.458267738511167,0.9262783630025906,3.3845461015137577,0.8084545340504071,0.6331272881387532,0.7053192354102644,0.4581726847945372,0.0392822474241256,0.0388365760445594,0.0095699774101376,0.0876888008788228
15,2.4585449559298262,0.927160543642668,3.3857054995724942,0.8065879749602255,0.6424568273510117,0.711974818816859,0.4638536018658172,0.0388848707079887,0.0390558652579784,0.0094329612329602,0.0873736971989274
16,2.4610439578682453,0.9174588764128504,3.378502834281095,0.8165079983689612,0.6385713577108991,0.7111426531015919,0.4635175838767947,0.0385551862418651,0.0397291742265224,0.0096233990043401,0.0879077594727277
17,2.4599588227602607,0.9197181258808228,3.3796769486410834,0.8090992760129826,0.6464464612486676,0.715565629510394,0.4669428679535681,0.0376737900078296,0.0400521606206893,0.0094806812703609,0.08720663189888
18,2.4632119372708177,0.932875760597372,3.3960876978681895,0.8070611026088896,0.6501824273294572,0.7187048822616477,0.4691183869955207,0.0384252704679966,0.0403443798422813,0.0095125753432512,0.0882822256535291
19,2.464043488035061,0.9211139416816432,3.385157429716704,0.8135458951921324,0.6456187391827652,0.7193790913778323,0.4714335769219279,0.0395740829408168,0.0405231826007366,0.0096906013786792,0.0897878669202327
20,2.462330525068145,0.9438535123809764,3.4061840374491217,0.8107106626338295,0.6495133017364549,0.7207438380977413,0.4715037380840629,0.0392270348966121,0.0406620278954505,0.009789508767426,0.0896785715594887
21,2.4610773196506894,0.9247476936865536,3.385825013337243,0.8030765425411094,0.6565081703369472,0.7201203594389614,0.4720449167830401,0.0376291275024414,0.0415072217583656,0.0095551572740077,0.0886915065348148
22,2.459190414352621,0.8988111624025249,3.358001576755146,0.8209885713091106,0.6455685268373863,0.7217393528140112,0.4734762318774014,0.0392979308962821,0.0415577627718448,0.0097928801551461,0.0906485738232731
23,2.4617580392012135,0.9152799649007766,3.37703800410199,0.8161065207195743,0.6485960649408554,0.722491896982888,0.4739310140816321,0.0397641658782959,0.0416387133300304,0.0099665885791182,0.0913694677874445
24,2.4597639441345187,0.9064257101431522,3.3661896542776706,0.8216622172317518,0.6440304625604425,0.7206214006086342,0.4727250750678295,0.0394745431840419,0.0421434268355369,0.0100355232134461,0.091653493233025
25,2.4576681398527667,0.8975495621688868,3.355217702021654,0.8079490264252364,0.656626969603909,0.7220747923024688,0.4738693002550382,0.0393135175108909,0.0420586951076984,0.0099849682301282,0.0913571808487176
26,2.4579420950371573,0.9299597001313524,3.38790179516851,0.8126282677193626,0.6550089799556519,0.7227002756875719,0.474492901327778,0.0394995100796222,0.042477361857891,0.010157598182559,0.0921344701200723
27,2.46137332753873,0.9066293605543696,3.3680026880930996,0.8033224188588151,0.6628310192497581,0.721822604205001,0.4735040397744808,0.0398911200463771,0.0428295694291591,0.0103307338431477,0.0930514233186841
28,2.46014124690051,0.9044853476995508,3.3646265946000606,0.8108374905572686,0.6562053422965949,0.7198801780324283,0.4724025291945111,0.0399796813726425,0.0428171828389167,0.0103584835305809,0.0931553477421403
29,2.465665369421222,0.908482382112511,3.374147751533733,0.8138360414289739,0.6513009486069922,0.7196695029252262,0.47219510131240555,0.03996530920267105,0.04308384284377098,0.010406509973108768,0.0934556620195508
